Distance Between Objects,In Room,Action
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
far,false,PathFollow
