character_posX,character_posY,character_velX,character_velY,character_accX,character_accY,character_orientation,character_rotation,character_angAcc,monster_posX,monster_posY,monster_velX,monster_velY,monster_accX,monster_accY,monster_orientation,monster_rotation,monster_angAcc,monster_image,action
500.0,300.0,0.0,0.0,0.014142136,-0.09899495,0.0,0.0,-0.01,100.0,300.0,0.0,0.0,0.06434015,0.02757435,0.0,0.0,-0.01,cuteMonster_red.jpeg,PathFollow
500.0,300.0,0.014142136,-0.09899495,0.012727922,-0.08909545,0.0,-0.01,-0.009000001,100.0,300.0,0.06434015,0.02757435,0.057906132,0.024816914,0.0,-0.01,-0.009000001,cuteMonster_red.jpeg,PathFollow
500.01413,299.901,0.026870057,-0.1880904,0.011455147,-0.080185905,-0.01,-0.019000001,-0.0081,100.06434,300.0276,0.12224628,0.05239126,0.052115537,0.022335216,-0.01,-0.019000001,-0.0081,cuteMonster_red.jpeg,PathFollow
500.041,299.71292,0.038325205,-0.2682763,0.01030965,-0.072167315,-0.029000001,-0.0271,-0.0072899996,100.186584,300.08,0.17436182,0.07472648,0.046903975,0.020101685,-0.029000001,-0.0271,-0.0072899996,cuteMonster_red.jpeg,PathFollow
500.0793,299.44464,0.048634857,-0.3404436,0.00927868,-0.064950585,-0.056100003,-0.03439,-0.006561001,100.36095,300.15472,0.2212658,0.09482816,0.04221358,0.018091511,-0.056100003,-0.03439,-0.006561001,cuteMonster_red.jpeg,PathFollow
500.12796,299.1042,0.057913538,-0.4053942,0.0083508,-0.058455527,-0.09049,-0.040951,-0.0059049004,100.582214,300.24954,0.26347938,0.11291967,0.037992217,0.016282367,-0.09049,-0.040951,-0.0059049004,cuteMonster_red.jpeg,PathFollow
500.18588,298.6988,0.06626434,-0.46384972,0.007515707,-0.052609973,-0.131441,-0.0468559,-0.00531441,100.845695,300.36246,0.3014716,0.12920204,0.034193,0.014654135,-0.131441,-0.0468559,-0.00531441,cuteMonster_red.jpeg,PathFollow
500.25214,298.23495,0.073780045,-0.5164597,0.0067641484,-0.04734897,-0.1782969,-0.05217031,-0.004782969,101.14716,300.49167,0.3356646,0.14385617,0.030773703,0.01318871,-0.1782969,-0.05217031,-0.004782969,cuteMonster_red.jpeg,PathFollow
500.32593,297.7185,0.080544196,-0.5638087,0.0060877167,-0.04261408,-0.2304672,-0.05695328,-0.004304672,101.48283,300.63553,0.3664383,0.15704487,0.027696332,0.01186984,-0.2304672,-0.05695328,-0.004304672,cuteMonster_red.jpeg,PathFollow
500.40646,297.1547,0.08663191,-0.6064228,0.005478957,-0.03835267,-0.28742048,-0.061257955,-0.0038742046,101.849266,300.79257,0.39413464,0.1689147,0.024926698,0.010682857,-0.28742048,-0.061257955,-0.0038742046,cuteMonster_red.jpeg,PathFollow
500.4931,296.54828,0.092110865,-0.64477545,0.00493105,-0.034517415,-0.34867844,-0.065132156,-0.0034867846,102.2434,300.9615,0.41906133,0.17959756,0.02243403,0.009614572,-0.34867844,-0.065132156,-0.0034867846,cuteMonster_red.jpeg,PathFollow
500.5852,295.9035,0.09704191,-0.67929286,0.004437957,-0.031065661,-0.4138106,-0.06861894,-0.0031381063,102.66246,301.14108,0.44149536,0.18921213,0.020190626,0.008653115,-0.4138106,-0.06861894,-0.0031381063,cuteMonster_red.jpeg,PathFollow
500.68225,295.2242,0.10147987,-0.7103585,0.0039941547,-0.027959097,-0.48242956,-0.07175705,-0.0028242953,103.10396,301.3303,0.461686,0.19786525,0.018171564,0.007787806,-0.48242956,-0.07175705,-0.0028242953,cuteMonster_red.jpeg,PathFollow
500.78372,294.51385,0.105474025,-0.7383176,0.0035947517,-0.025163185,-0.5541866,-0.07458134,-0.0025418662,103.56564,301.52817,0.47985756,0.20565306,0.016354406,0.007009016,-0.5541866,-0.07458134,-0.0025418662,cuteMonster_red.jpeg,PathFollow
