character_posX,character_posY,character_velX,character_velY,character_accX,character_accY,character_orientation,character_rotation,character_angAcc,monster_posX,monster_posY,monster_velX,monster_velY,monster_accX,monster_accY,monster_orientation,monster_rotation,monster_angAcc,monster_image,action
500.0,300.0,0.0,0.0,-0.060000002,-0.060000002,0.0,0.0,0.01,100.0,300.0,0.0,0.0,0.06434015,0.02757435,0.0,0.0,-0.01,cuteMonster_red.jpeg,PathFollow
500.0,300.0,-0.060000002,-0.060000002,-0.054,-0.054,0.0,0.01,0.009000001,100.0,300.0,0.06434015,0.02757435,0.057906132,0.024816914,0.0,-0.01,-0.009000001,cuteMonster_red.jpeg,PathFollow
499.94,299.94,-0.11400001,-0.11400001,-0.048480004,-0.048480004,0.01,0.019000001,0.0081,100.06434,300.0276,0.12224628,0.05239126,0.052115537,0.022335216,-0.01,-0.019000001,-0.0081,cuteMonster_red.jpeg,PathFollow
499.826,299.826,-0.16248001,-0.16248001,-0.043403976,-0.043403976,0.029000001,0.0271,0.0072899996,100.186584,300.08,0.17436182,0.07472648,0.046903975,0.020101685,-0.029000001,-0.0271,-0.0072899996,cuteMonster_red.jpeg,PathFollow
499.6635,299.6635,-0.20588398,-0.20588398,-0.038738627,-0.038738627,0.056100003,0.03439,0.006561001,100.36095,300.15472,0.2212658,0.09482816,0.04221358,0.018091511,-0.056100003,-0.03439,-0.006561001,cuteMonster_red.jpeg,PathFollow
499.45764,299.45764,-0.2446226,-0.2446226,-0.034453023,-0.034453023,0.09049,0.040951,0.0059049004,100.582214,300.24954,0.26347938,0.11291967,0.037992217,0.016282367,-0.09049,-0.040951,-0.0059049004,cuteMonster_red.jpeg,PathFollow
499.213,299.213,-0.27907562,-0.27907562,-0.030518467,-0.030518467,0.131441,0.0468559,0.00531441,100.845695,300.36246,0.3014716,0.12920204,0.034193,0.014654135,-0.131441,-0.0468559,-0.00531441,cuteMonster_red.jpeg,PathFollow
498.93393,298.93393,-0.3095941,-0.3095941,-0.026908452,-0.026908452,0.1782969,0.05217031,0.004782969,101.14716,300.49167,0.3356646,0.14385617,0.030773703,0.01318871,-0.1782969,-0.05217031,-0.004782969,cuteMonster_red.jpeg,PathFollow
498.62433,298.62433,-0.33650255,-0.33650255,-0.023598403,-0.023598403,0.2304672,0.05695328,0.004304672,101.48283,300.63553,0.3664383,0.15704487,0.027696332,0.01186984,-0.2304672,-0.05695328,-0.004304672,cuteMonster_red.jpeg,PathFollow
498.2878,298.2878,-0.36010095,-0.36010095,-0.02056553,-0.02056553,0.28742048,0.061257955,0.0038742046,101.849266,300.79257,0.39413464,0.1689147,0.024926698,0.010682857,-0.28742048,-0.061257955,-0.0038742046,cuteMonster_red.jpeg,PathFollow
497.9277,297.9277,-0.3806665,-0.3806665,-0.017788762,-0.017788762,0.34867844,0.065132156,0.0034867846,102.2434,300.9615,0.41906133,0.17959756,0.02243403,0.009614572,-0.34867844,-0.065132156,-0.0034867846,cuteMonster_red.jpeg,PathFollow
497.54703,297.54703,-0.39845526,-0.39845526,-0.0152485315,-0.0152485315,0.4138106,0.06861894,0.0031381063,102.66246,301.14108,0.44149536,0.18921213,0.020190626,0.008653115,-0.4138106,-0.06861894,-0.0031381063,cuteMonster_red.jpeg,PathFollow
497.14856,297.14856,-0.4137038,-0.4137038,-0.01292674,-0.01292674,0.48242956,0.07175705,0.0028242953,103.10396,301.3303,0.461686,0.19786525,0.018171564,0.007787806,-0.48242956,-0.07175705,-0.0028242953,cuteMonster_red.jpeg,PathFollow
496.73486,296.73486,-0.42663053,-0.42663053,-0.010806677,-0.010806677,0.5541866,0.07458134,0.0025418662,103.56564,301.52817,0.47985756,0.20565306,0.016354406,0.007009016,-0.5541866,-0.07458134,-0.0025418662,cuteMonster_red.jpeg,PathFollow
496.30823,296.30823,-0.4374372,-0.4374372,-0.0088727325,-0.0088727325,0.6287679,0.07712321,0.0022876791,104.0455,301.73383,0.49621198,0.21266207,0.014718965,0.0063081114,-0.6287679,-0.07712321,-0.0022876791,cuteMonster_red.jpeg,PathFollow
495.8708,295.8708,-0.44630992,-0.44630992,-0.0071105836,-0.0071105836,0.70589113,0.07941089,0.0020589114,104.54171,301.9465,0.51093096,0.21897018,0.013247073,0.0056772856,-0.70589113,-0.07941089,-0.0020589114,cuteMonster_red.jpeg,PathFollow
495.42447,295.42447,-0.45342052,-0.45342052,-0.005506891,-0.005506891,0.78530204,0.0814698,0.0018530205,105.05264,302.16547,0.524178,0.22464746,0.011922365,0.0051095635,-0.78530204,-0.0814698,-0.0018530205,cuteMonster_red.jpeg,PathFollow
494.97104,294.97104,-0.45892742,-0.45892742,-0.004049337,-0.004049337,0.8667718,0.083322816,0.0016677186,105.57682,302.3901,0.5361004,0.22975703,0.010730123,0.004598613,-0.8667718,-0.083322816,-2.3725629E-4,cuteMonster_red.jpeg,PathFollow
494.51212,294.51212,-0.46297675,-0.46297675,-0.0027265549,-0.0027265549,0.95009464,0.08499053,0.001500947,106.11292,302.61987,0.54683053,0.23435564,0.009657115,0.0041387426,-0.95009464,-0.08356007,0.0021734885,cuteMonster_red.jpeg,PathFollow
494.04913,294.04913,-0.4657033,-0.4657033,-0.0015279383,-0.0015279383,1.0350852,0.08649148,0.0013508521,106.65975,302.85422,0.5564877,0.23849438,0.0086914,0.0037248835,-1.0336547,-0.08138658,0.0043499656,cuteMonster_red.jpeg,PathFollow
